Team name,Profile team,Wiki URL,Region,Country,Track,Kind,Section,Application,Year,Title,Abstract,Members
Aachen,https://old.igem.org/Team.cgi?team_id=3013,https://2019.igem.org/Team:Aachen,Europe,Germany,Environment,Collegiate,over,Accepted,2019,Plastractor - extracting microplastics from fluids via magnets,"Nowadays the problem of microplastics in fluids like drinkable water is a huge topic with a lot of new publications and studies about the amount, types and risks of it for animals, environment and humans. The ""Plastractor"" is a device which shall extract microplastics from fluids easily via magnets. Therefore the bacterium Rhodospirillum rubrum ""magneticum"" was obtained. It is genetically modified to build magnetosomes; small magnetic and vesicle-like particles, with plastic binding peptides on its membrane. For modification we use E. coli BW29427 which transfers the needed plasmid to Rhodospirillum rubrum ""magneticum"" via conjugation. Two different plastic binding peptides are used, ""Tachystatin A2"" (TA2) and ""liquid chromatography peak I"" (LCI), fused with two different fluorescent proteins to enable the detection of the bound particles. Thus the device will be able to extract the plastics that are bound to magnetosomes and detect it by fluorescence.  ","['Lars Blank', 'Wolfgang Wiechert', 'Ulrich Schwaneberg', '', 'Henrik Horst', 'Alina Egger', 'Yasmin Kuhn', 'Jana Schnuch', 'benjamin skorupa', 'Jacqueline Riffel', 'Tobias Spiegl', 'Gereon Fischer', 'Julian Ahl', 'Rebekka Horstmann']"
Aalto-Helsinki,https://old.igem.org/Team.cgi?team_id=3016,https://2019.igem.org/Team:Aalto-Helsinki,Europe,Finland,Manufacturing,Collegiate,over,Accepted,2019,VibXPRESSO - A Vibrio natriegens strain for efficient production and secretion of recombinant proteins,"Recombinant proteins are widely used in biomedical research and as biopharmaceutical compounds. Even with today’s technologies, improved efficacy is necessary as the demand for recombinant proteins is increasing – it has been estimated that within the next ten years half of all medicines developed will be biopharmaceuticals.    Our iGEM project introduces VibXPRESSO - Vibrio natriegens with Xtreme PRotein Expression and Secretion Optimization. We harness the gram-negative bacterium's generation time of under 10 minutes to rapidly produce large amounts of protein for efficient purification. This is achieved via the twin-arginine translocation (Tat) pathway, that secretes proteins into the bacterium's periplasm. By environmental modifications we have increased the outer membrane leakiness of  V. natriegens, to direct proteins from the periplasm into the growth medium for easier protein harvest. As a proof of concept, we compared the yield of human growth hormone between V. natriegens WT ATCC 14048 and our modified VibXPRESSO strain. ","['Heli Viskari', '', '', 'Ilse Kaaja', 'Camilla Selenius', 'Noora Haapala', 'Miika-Erik Korpioja', 'Ursula Mikkola', 'Arina Värä', 'Antti Pennanen', 'Neja Sirc', 'Amanda Raitosalo', 'Jan Tuomas Burakowski', 'Antti Toivanen', 'Kustaa Multamäki']"
Aboa,https://old.igem.org/Team.cgi?team_id=2941,https://2019.igem.org/Team:Aboa,Europe,Finland,Diagnostics,Collegiate,over,Accepted,2019,Expanded genetic code to control antibody orientation in immunodiagnostics ,"Antibody based diagnostic tests or immunoassays are widely used to quicken treatment decision-making and to enable patients to test themselves for example for pregnancy. However, the analyte binding antibodies in conventional immunoassays are randomly immobilized onto a test surface blocking some binding sites from the analytes. When the concentration of a disease marker as the analyte is below the detection limit or the sensitivity, the signal could be improved by orienting the antibodies. Our objective was to orientate a digoxigenin binding Fab fragment of the antibody by incorporating a p-azido-L-phenylalanine, an unnatural amino acid with click chemistry properties. As a control, we used a chemically treated Fab including azide in random locations. The Fabs were immobilized onto DBCO coated magnetic beads and the bound fluorescently labeled digoxigenin was measured with flow cytometry. According to the results, orientation improved the signal and made the test surface more homogeneous. ","['Pauli Kallio', 'Kati Kemppainen', '', 'Fanni Suomi', 'Riku Pihlaja', 'Janniina Karinsalo', 'Linnea Korhonen', 'Ville Vapa', 'Fanny Sundqvist', 'Oskari Läntinen', 'Robin Kĺll', 'Susanna Peltonen', 'Pyry Niemelä', 'Jutta Maria Lindfors', 'Gustav Malmström', 'Ossi Leppänen', 'Tuomas Huovinen']"
ACIBADEM_ISTANBUL,https://old.igem.org/Team.cgi?team_id=3272,https://2019.igem.org/Team:ACIBADEM_ISTANBUL,Asia,Turkey,High School,High School,hs,Accepted,2019,Designing a wide spectrum synthetic antivenom: VenomXL,"The Opossum is an animal with outstanding resistance to toxins, snake venoms in particular. This anti-venom ability is gained through a single protein; the Lethal Toxin Neutralizing Factor (LTNF). We are attempting to produce an improved synthetic and cost-effective version of the active domain of the protein as a synthetic anti-venom for human use. VenomXL incorporates the power of the post-translational modification processes primarily methylation or acetylation on critical locations of the active polypeptide of the LTNF that improved target affinity. The synthetic polypeptide is then circularized, a process that comprises of adding cysteine amino acids to both ends of a polypeptide chain; triggering the formation of a disulphide bridge, ultimately leading to a circular structure. Circularized synthetic peptides are known for not only greater stability but also greater efficacy thereby improving its shelf life and lowering the required dosage for treatment, ultimately providing a more efficient bioproduct. ","['Ikbal Agah Ince', 'AHMET KATI', 'Masuma Shokriyan', 'zeynep ipek turan', 'Yalın Kumru', 'Gulse Kayra Oguz', 'Zeynep Çakır', 'Zeynep Duru Topsak', 'Efe Erden', 'Atabey Ünlü', 'Nezih Arın Alanay', 'Şant Burak Şimşekçak', 'Gülse Dora Kara', 'Doğa Kastal', 'Melisa Butterworth', 'Asya Ulger', 'Nazlı Atasayan', 'Neval Sevinc']"
AFCM-Egypt,https://old.igem.org/Team.cgi?team_id=3244,https://2019.igem.org/Team:AFCM-Egypt,Africa,Egypt,Therapeutics,Collegiate,under,Accepted,2019,A Modular TanCAR T-Cell Framework Targeting Schistosomiasis-Associated Bladder Cancer: An In Vitro Study,"Bladder Cancer is the 7th most common cancer among males and 17th among females. Egypt ranks 10th amongst the countries with highest bladder cancer incidence rates. This has been attributed to endemic parasitic infestation with Schistosoma Hematobium.  Schistosomiasis-associated bladder cancer constitutes 60% of cases. In our project, we aimed to  engineer the chimeric antigen receptor T-cells capable  of  targeting schistosomiasis-associated bladder cancer cells as well as overcoming the immuno-suppressive conditions associated with the tumor microenvironment.  To achieve this purpose, we devised a computational framework for antibody design producing single chain variable fragments which target intracellular antigens. We then engineered dual 4th generation TanCAR-T cells (using CRISPR-CAS9) with enhanced cytokine production and a dual functionality against cancer cells as well as the egg form of the parasite. We also optimized the CAR design by directed silencing of exhaustiveness-inducing transcription factors utilizing a computational pipeline for designing and optimizing silencing RNAs cassettes.   ","['Mohamed Saad Hegazy', 'Mostafa El Nakib', 'Mahmoud Mohammed Mahmoud AbdelGawad', 'maged reda abd elhaleem', 'Nashwa El-Khazragy', 'Hana M. Abdelzaher', 'Mohammad Tarek Mansour', 'Ahmed Tarek Zkzouk', 'Ahmad Mahmoud Galal', 'Yasser Elbedewy', 'Mohamed Gamal Rashwan', 'Fady Shaban', 'ahmed adel mohamed elsayed ahmed rezk', 'Abdelrhman Khalifa', 'Mohamed Said Riad', 'Abdelghany Ahmed Abdelghany Elmashad', 'Medhat Ishak Saleh', 'Ahmed Wael Mansour', 'Ziad Nagy Mohamed Rashad', 'safwan elmofty', 'Ahmed Ragab ', 'Eyad Ashraf Haider', 'Mohamed Osama Mohamed Moawad', 'Farid Essam Ibrahim', 'Muhamed Ashraf Mahmoud Hanafy', 'Badr Muhammad Muhammad Saeid', 'Ahmed Khaled Anwar ', 'Mohammed Salah AbdulNabi Al Feky', 'Ahmed Hamdy Hassan AbdelRazek']"
AHUT_China,https://old.igem.org/Team.cgi?team_id=2949,https://2019.igem.org/Team:AHUT_China,Asia,China,Environment,Collegiate,under,Accepted,2019,Carbon Dioxide Capturer 2.0,"In this project, we intended to immobilized the mutated carbonic anhydrase (CAⅡ) estabilied last year on carriers with amino groups to further improve its application in CO2 capture. Specifically, site-specific immobilization method was realized via protein labeling. Firstly, sulphatase motif (LCTASR) was added to the terminus of mutated carbonic anhydrase (CAⅡ-LCTASR) by genetic engeneering method; then, an aldehyde tag was introduced to the mutated carbonic anhydrase by co-transforming the recombinant plasmid CAⅡ-LCTASR and formyglycine-modified enzyme expression system myc-his A Rv0712 (FGE) into E.coli TB1; finally, the aldehyde-tagged CAⅡ were immobilized via forming covalent with amino functionalized supports through the Schiff base reaction. Our results revealed that CAⅡ could be successfully immobilized and retained its original activity.  ","['Xiangrong Xu', 'Hao Xu', 'Liang Ma', 'Zi Liu', 'Xia Xu', 'Jian Xu', 'Ruilan Cao', 'she huili', 'Yuwen Ding', 'Feng Jiang', 'Yu Zhang', 'Yujie Wang', 'BoYan Wang', 'Nina Wang', 'Hanbo Xu', 'Tiansheng Wu', 'Wei jing', 'jian Liu', 'Li Mengzi', 'Rui Luan', 'gonghao li', 'Jia Jun Li', 'Shunkang Ling', 'Yuexin Xie', 'Xuanhe Wang', 'Dengyun Shen', 'hongjing zhou', 'Pengcheng Tan', 'Mingming Wang', 'Bencheng Zhu', 'Xueming Chen', 'Yuru Chen', 'Shenglan Wu', 'Huji Leng', 'Mingyan Gu', 'Lijuan Long']"
Aix-Marseille,https://old.igem.org/Team.cgi?team_id=2915,https://2019.igem.org/Team:Aix-Marseille,Europe,France,Diagnostics,Collegiate,over,Accepted,2019,I WANT TB FREE,"Tuberculosis is a major public health problem in many regions of the world, both developing countries and in “risky” populations in richer countries. The Aix Marseille University iGEM team has developed their project “I Want TB Free”. The aim of this project is to develop a diagnostic test for tuberculosis that is cheap, rapid, specific and sensitive, has a long shelf-life and easily deployable in regions of the world with little or no scientific infrastructure. The test will specifically detect low levels of Mycobacterium tuberculosis in readily accessible sputum samples generating a colored band on a test strip, enabling earlier diagnosis and more effective treatment than currently available tests. The “I want TB Free” project is developed by a multidisciplinary team of students from different faculties and departments of Aix-Marseille University over the summer of 2019. The design builds on published work and integrates several innovations to achieve its aims.  ","['James Sturgis', 'Laetitia HOUOT', 'Julie Viala', 'Jonas Desjardins', 'Charles-Alfred Megan', 'rim saadouni', 'Soltani Farid', 'Jennifer Arrindell', 'Johanna Iacono', 'yanis benhammou', 'Richard SFEIR', 'Axel Noir', 'Jade Mainguené', 'Agathe BESSOT', 'MERAND Raphael', 'Carine Bourdais', 'Valerie Prima', 'Nin Sébastien ', 'Yorgo El Moubayed', 'Antonin Gardais']"
Alabama,https://old.igem.org/Team.cgi?team_id=3085,https://2019.igem.org/Team:Alabama,North America,United States,Therapeutics,Collegiate,under,Accepted,2019,Gemcitabine / CDD Knock-Out (GemCKO) to Mitigate Chemotherapeutic Drug Resistance Caused by Intratumoral Bacteria ,"Gemcitabine is a chemotherapy drug used to treat pancreatic, breast, bladder, ovarian, and non-small cell lung cancer. Alabama iGEM explored a previously reported link between the intratumoral bacterial environment of pancreatic adenocarcinoma to confirm and characterize the direct consumption of gemcitabine by comparable bacteria such as some strains of E. coli. It has been shown that the production of a specific type of the cytidine deaminase (CDD) protein by these bacteria render the gemcitabine unusable to treat the target cancer. We constructed a plasmid and used it to knock out the cdd gene from E. coli BL21(DE3), and compared growth of knockout and wild-type strains. Degradation of gemcitabine by the wild-type strain was determined by HPLC. We further developed a suite of modular E. coli expression plasmids, with each plasmid component flanked by a unique restriction site, that will facilitate cloning in the future. ","['Ryan Summers', '', '', 'Lauren Pan', 'Dylan McCain Marcum-Pollard', 'Isabella Goldman', 'Kylie Brooke Lovett', 'Jesse Horne', 'Bruce Forsyth']"
Alma,https://old.igem.org/Team.cgi?team_id=2905,https://2019.igem.org/Team:Alma,North America,United States,Therapeutics,Collegiate,under,Accepted,2019,Plaque Attack,"Cardiovascular disease is a class of disease consisting of illnesses that affect the heart and blood vessels. This class of disease is the leading cause of death in the United States, responsible for one in every four deaths. Atherosclerosis is a type of cardiovascular disease that begins as macrophages and cholesterol infiltrate arterial walls forming atherosclerotic plaques. Formation of these plaques is instigated by Trimethylamine n-oxide (TMAO), with originates as the Carnitine metabolism byproduct Trimethylamine (TMA). Production of TMA is carried out by gut bacteria in the small intestine. We have sought to develop a counteracting bacteria that would degrade TMA before it is absorbed into the bloodstream. This probiotic strain contains genes from a Methanogenic bacteria that can convert the TMA into less harmful by-products. ","['Devin Camenares', 'Lauren Woolbright', 'Brian Doyle', 'Brianna Ricker', 'Nathan Haut', 'David Viguilla', 'Chloe Bower', 'Abbey Killian', 'Kaleb Ramon', 'Whitney Miller', 'Steven Sowa ', 'Eryn Corinth', 'Madison Hibbs', 'John Vusich']"
Amazonas-Brazil,https://old.igem.org/Team.cgi?team_id=3320,https://2019.igem.org/Team:Amazonas-Brazil,Latin America,Brazil,Therapeutics,Collegiate,under,Accepted,2019,BeliE.V.E. - an Engineered Vehicle to End-cancer,"One of the current applications of synthetic biology is to turn organisms into living therapeutics. In this context, reprogrammed cells emerge as powerful vehicles for drug delivery.  We are engineering a robust, interchangeable and modular framework composed by an AND logic gate suitable for multiple tumor microenvironment inputs (e.g., hypoxia AND high levels of lactate), as predicted by our model. As proof of concept, we genetically engineered E. coli Nissle 1917 to quantify the AND logic gate dynamic range. We envision EVE driving the production of antitumoral payloads of interest. Also, we built a low-cost and open-source reproducible CO2 incubator to help both our and other teams in cell culture. In Human Practices, EVE represents our desire to understand people, seeing them beyond their diseases. Our project aims to offer a framework to overcome the current challenges of conventional cancer therapy. Recognize. Reprogram. BeliE.V.E. ","['Spartaco Astolfi Filho', 'Lorena Nacif Marçal', 'Isaac de Paula Guerreiro', 'Giovanna Resk Maklouf', 'Jimmy Gledson Hayden Pontes Linhares', 'Daiana da Silva de Almeida', 'Gabriel Coutinho Borges Camargo', 'Lívia Miyuki Takahashi', 'Gabriel Borel Marinho', 'Alex Johan Mendes Comodaro', 'Franklin Ferreira Rezende Neto', 'Ígor Pereira Fernandes', 'Maria Cecília Lelis', 'Gabriel Henrique Peron Caldas', 'Thiago Ferreira de Lima', 'Abel Freire de Andade', 'Nathália Raquel de Souza Fernandes', 'Kathelen Anne Sudo Memória', 'Leticia Cristina Falcao Pinheiro', 'Víctor Rodrigo Félix dos Santos ', 'Diego da Silva Moreira', 'ISABELLE BEZERRA CORDEIRO', 'Sônia Maria da Silva Carvalho']"
