Team name,Profile team,Wiki URL,Region,Country,Track,Kind,Section,Application
Aachen,https://old.igem.org/Team.cgi?team_id=4744,https://2023.igem.wiki/aachen,Europe,Germany,Bioremediation,Collegiate,over,Accepted
Aalto-Helsinki,https://old.igem.org/Team.cgi?team_id=4701,https://2023.igem.wiki/aalto-helsinki,Europe,Finland,Environment,Collegiate,over,Accepted
ABOA-Turku,https://old.igem.org/Team.cgi?team_id=4831,https://2023.igem.wiki/aboa-turku,Europe,Finland,Bioremediation,Collegiate,over,Accepted
AFCM-Egypt,https://old.igem.org/Team.cgi?team_id=4586,https://2023.igem.wiki/afcm-egypt,Africa,Egypt,Therapeutics,Collegiate,under,Accepted
AFMU-China,https://old.igem.org/Team.cgi?team_id=4778,https://2023.igem.wiki/afmu-china,Asia,China,Diagnostics,Collegiate,under,Accepted
AIS-China,https://old.igem.org/Team.cgi?team_id=4808,https://2023.igem.wiki/ais-china,Asia,China,High School,Commercial,hs,Accepted
Aix-Marseille,https://old.igem.org/Team.cgi?team_id=4582,https://2023.igem.wiki/aix-marseille,Europe,France,Climate Crisis,Collegiate,over,Accepted
Alma,https://old.igem.org/Team.cgi?team_id=4732,https://2023.igem.wiki/alma,North America,United States,Bioremediation,Collegiate,under,Accepted
ANU-Australia,https://old.igem.org/Team.cgi?team_id=4780,https://2023.igem.wiki/anu-australia,Asia,Australia,Bioremediation,Collegiate,under,Accepted
AshesiGhana,https://old.igem.org/Team.cgi?team_id=4746,https://2023.igem.wiki/ashesighana,Africa,Ghana,Biomanufacturing,Collegiate,over,Accepted
ASIJ-Tokyo,https://old.igem.org/Team.cgi?team_id=4738,https://2023.igem.wiki/asij-tokyo,Asia,Japan,High School,High School,hs,Accepted
ASU,https://old.igem.org/Team.cgi?team_id=4895,https://2023.igem.wiki/asu,North America,United States,Bioremediation,Collegiate,under,Accepted
Athens,https://old.igem.org/Team.cgi?team_id=4810,https://2023.igem.wiki/athens,Europe,Greece,Diagnostics,Collegiate,over,Accepted
Austin-UTexas,https://old.igem.org/Team.cgi?team_id=4579,https://2023.igem.wiki/austin-utexas,North America,United States,Agriculture,Collegiate,under,Accepted
BAID-China,https://old.igem.org/Team.cgi?team_id=4714,https://2023.igem.wiki/baid-china,Asia,China,High School,High School,hs,Accepted
Bangkok-NMH,https://old.igem.org/Team.cgi?team_id=4962,https://2023.igem.wiki/bangkok-nmh,Asia,Thailand,Software &amp; AI,Collegiate,over,Accepted
Barcelona-UB,https://old.igem.org/Team.cgi?team_id=4770,https://2023.igem.wiki/barcelona-ub,Europe,Spain,Bioremediation,Collegiate,under,Accepted
BASIS-China,https://old.igem.org/Team.cgi?team_id=4880,https://2023.igem.wiki/basis-china,Asia,China,High School,High School,hs,Accepted
BFSU-ICUnited,https://old.igem.org/Team.cgi?team_id=5004,https://2023.igem.wiki/bfsu-icunited,Asia,China,High School,Commercial,hs,Accepted
BGI-MammothEdu-China,https://old.igem.org/Team.cgi?team_id=4799,https://2023.igem.wiki/bgi-mammothedu-china,Asia,China,High School,Commercial,hs,Accepted
BIBS-beijing-china,https://old.igem.org/Team.cgi?team_id=4717,https://2023.igem.wiki/bibs-beijing-china,Asia,China,High School,High School,hs,Accepted
Bielefeld-CeBiTec,https://old.igem.org/Team.cgi?team_id=4877,https://2023.igem.wiki/bielefeld-cebitec,Europe,Germany,Therapeutics,Collegiate,over,Accepted
BilkenTR-UNAM,https://old.igem.org/Team.cgi?team_id=4969,https://2023.igem.wiki/bilkentr-unam,Europe,Turkey,Therapeutics,Collegiate,under,Withdrawn
Bioplus-China,https://old.igem.org/Team.cgi?team_id=4804,https://2023.igem.wiki/bioplus-china,Asia,China,High School,Commercial,hs,Accepted
Bioplus-Shanghai,https://old.igem.org/Team.cgi?team_id=4824,https://2023.igem.wiki/bioplus-shanghai,Asia,China,High School,Commercial,hs,Accepted
BIT,https://old.igem.org/Team.cgi?team_id=4691,https://2023.igem.wiki/bit,Asia,China,Environment,Collegiate,over,Accepted
BIT-China,https://old.igem.org/Team.cgi?team_id=4616,https://2023.igem.wiki/bit-china,Asia,China,Biomanufacturing,Collegiate,under,Accepted
BITSPilani-Goa-India,https://old.igem.org/Team.cgi?team_id=4963,https://2023.igem.wiki/bitspilani-goa-india,Asia,India,Therapeutics,Collegiate,over,Accepted
BJEA-China,https://old.igem.org/Team.cgi?team_id=4722,https://2023.igem.wiki/bjea-china,Asia,China,High School,High School,hs,Accepted
BJHS,https://old.igem.org/Team.cgi?team_id=4861,https://2023.igem.wiki/bjhs,Asia,China,High School,Commercial,hs,Accepted
BJWZ-China,https://old.igem.org/Team.cgi?team_id=4657,https://2023.igem.wiki/bjwz-china,Asia,China,High School,High School,hs,Accepted
BJYUAN-CHINA,https://old.igem.org/Team.cgi?team_id=4945,https://2023.igem.wiki/bjyuan-china,Asia,China,High School,High School,hs,Accepted
BNDS-China,https://old.igem.org/Team.cgi?team_id=4593,https://2023.igem.wiki/bnds-china,Asia,China,High School,High School,hs,Accepted
BNU-China,https://old.igem.org/Team.cgi?team_id=4623,https://2023.igem.wiki/bnu-china,Asia,China,Biomanufacturing,Collegiate,under,Accepted
BNUZH-China,https://old.igem.org/Team.cgi?team_id=4737,https://2023.igem.wiki/bnuzh-china,Asia,China,Therapeutics,Collegiate,under,Accepted
BOKU-Vienna,https://old.igem.org/Team.cgi?team_id=4700,https://2023.igem.wiki/boku-vienna,Europe,Austria,Biomanufacturing,Collegiate,over,Accepted
Bonn-Rheinbach,https://old.igem.org/Team.cgi?team_id=4816,https://2023.igem.wiki/bonn-rheinbach,Europe,Germany,Bioremediation,Collegiate,under,Accepted
BostonU-HW,https://old.igem.org/Team.cgi?team_id=4708,https://2023.igem.wiki/bostonu-hw,North America,United States,Foundational Advance,Collegiate,under,Accepted
BPI-China,https://old.igem.org/Team.cgi?team_id=4667,https://2023.igem.wiki/bpi-china,Asia,China,Diagnostics,Collegiate,over,Accepted
Brest,https://old.igem.org/Team.cgi?team_id=4906,https://2023.igem.wiki/brest,Europe,France,,Collegiate,none,Withdrawn
BS-United-China,https://old.igem.org/Team.cgi?team_id=4897,https://2023.igem.wiki/bs-united-china,Asia,China,High School,Commercial,hs,Accepted
BUCT,https://old.igem.org/Team.cgi?team_id=4644,https://2023.igem.wiki/buct,Asia,China,Therapeutics,Collegiate,over,Accepted
BUCT-China,https://old.igem.org/Team.cgi?team_id=4612,https://2023.igem.wiki/buct-china,Asia,China,Diagnostics,Collegiate,over,Accepted
Bulgaria,https://old.igem.org/Team.cgi?team_id=4855,https://2023.igem.wiki/bulgaria,Europe,Bulgaria,Environment,Collegiate,over,Accepted
BZK,https://old.igem.org/Team.cgi?team_id=5024,https://2023.igem.wiki/bzk,Asia,China,High School,Commercial,hs,Accepted
BZK-SH,https://old.igem.org/Team.cgi?team_id=4862,https://2023.igem.wiki/bzk-sh,Asia,China,High School,Commercial,hs,Accepted
Calgary,https://old.igem.org/Team.cgi?team_id=4944,https://2023.igem.wiki/calgary,North America,Canada,Therapeutics,Collegiate,over,Accepted
Cambridge,https://old.igem.org/Team.cgi?team_id=4769,https://2023.igem.wiki/cambridge,Europe,United Kingdom,Environment,Collegiate,under,Accepted
Canton-HS,https://old.igem.org/Team.cgi?team_id=4872,https://2023.igem.wiki/canton-hs,Asia,China,High School,Commercial,hs,Accepted
CAU-China,https://old.igem.org/Team.cgi?team_id=4614,https://2023.igem.wiki/cau-china,Asia,China,Biomanufacturing,Collegiate,under,Accepted
CCA-San-Diego,https://old.igem.org/Team.cgi?team_id=4610,https://2023.igem.wiki/cca-san-diego,North America,United States,High School,High School,hs,Accepted
CCU-Taiwan,https://old.igem.org/Team.cgi?team_id=4674,https://2023.igem.wiki/ccu-taiwan,Asia,Taiwan,Diagnostics,Collegiate,over,Accepted
Chalmers-Gothenburg,https://old.igem.org/Team.cgi?team_id=4902,https://2023.igem.wiki/chalmers-gothenburg,Europe,Sweden,Food &amp; Nutrition,Collegiate,over,Accepted
City-of-London-UK,https://old.igem.org/Team.cgi?team_id=4642,https://2023.igem.wiki/city-of-london-uk,Europe,United Kingdom,High School,High School,hs,Accepted
CJUH-JLU-China,https://old.igem.org/Team.cgi?team_id=4611,https://2023.igem.wiki/cjuh-jlu-china,Asia,China,Diagnostics,Collegiate,under,Accepted
CNAS-Romania,https://old.igem.org/Team.cgi?team_id=4740,https://2023.igem.wiki/cnas-romania,Europe,Romania,High School,High School,hs,Accepted
CollegiateRVA,https://old.igem.org/Team.cgi?team_id=5012,https://2023.igem.wiki/collegiaterva,North America,United States,High School,High School,hs,Withdrawn
Concordia-Montreal,https://old.igem.org/Team.cgi?team_id=4684,https://2023.igem.wiki/concordia-montreal,North America,Canada,Diagnostics,Collegiate,over,Accepted
Cornell,https://old.igem.org/Team.cgi?team_id=4580,https://2023.igem.wiki/cornell,North America,United States,Biomanufacturing,Collegiate,over,Accepted
CPU-CHINA,https://old.igem.org/Team.cgi?team_id=4990,https://2023.igem.wiki/cpu-china,Asia,China,Therapeutics,Collegiate,under,Accepted
CSMU-Taiwan,https://old.igem.org/Team.cgi?team_id=4618,https://2023.igem.wiki/csmu-taiwan,Asia,Taiwan,Bioremediation,Collegiate,under,Accepted
CSU-CHINA,https://old.igem.org/Team.cgi?team_id=4585,https://2023.igem.wiki/csu-china,Asia,China,Therapeutics,Collegiate,under,Accepted
CU-Boulder,https://old.igem.org/Team.cgi?team_id=4919,https://2023.igem.wiki/cu-boulder,North America,United States,Agriculture,Collegiate,under,Accepted
